player,team,Total_Shots,Actual_Goals,Classic_xG,Contextual_xG,Overperformance_cxG,xG_Difference
Erling Haaland,Manchester City,123,26,28.64,22.75,3.25,-5.89
Thiago,Brentford,81,22,24.46,19.98,2.02,-4.48
João Pedro,Chelsea,71,15,15.22,12.43,2.57,-2.79
Viktor Gyokeres,Arsenal,54,14,13.54,11.48,2.52,-2.07
Morgan Gibbs-White,Nottingham Forest,75,13,9.89,8.92,4.08,-0.97
Danny Welbeck,Brighton,54,13,12.55,10.45,2.55,-2.1
Ollie Watkins,Aston Villa,73,12,15.24,11.64,0.36,-3.59
Eli Junior Kroupi,Bournemouth,44,12,8.48,7.86,4.14,-0.62
Dominic Calvert-Lewin,Leeds,68,12,16.58,13.46,-1.46,-3.12
Jean-Philippe Mateta,Crystal Palace,62,11,15.56,11.87,-0.87,-3.68
Hugo Ekitike,Liverpool,65,11,11.93,9.67,1.33,-2.26
Benjamin Sesko,Manchester United,61,11,12.5,10.94,0.06,-1.56
Antoine Semenyo,Bournemouth,49,10,7.93,7.22,2.78,-0.72
Richarlison,Tottenham,52,10,8.01,7.17,2.83,-0.84
Harry Wilson,Fulham,74,10,5.64,5.72,4.28,0.08
Zian Flemming,Burnley,50,10,9.43,8.23,1.77,-1.21
Beto,Everton,42,9,10.41,8.48,0.52,-1.93
Casemiro,Manchester United,49,9,6.37,4.86,4.14,-1.51
Bryan Mbeumo,Manchester United,66,9,10.07,9.02,-0.02,-1.05
Bruno Guimarães,Newcastle United,39,9,6.48,6.17,2.83,-0.3
Enzo Fernández,Chelsea,70,9,11.87,9.65,-0.65,-2.21
Raúl Jiménez,Fulham,70,9,11.88,9.37,-0.37,-2.52
Morgan Rogers,Aston Villa,83,9,7.11,7.48,1.52,0.37
Cole Palmer,Chelsea,58,9,9.76,8.93,0.07,-0.84
Matheus Cunha,Manchester United,86,9,6.32,6.51,2.49,0.19
Noah Okafor,Leeds,35,8,6.3,5.69,2.31,-0.6
Ismaila Sarr,Crystal Palace,45,8,10.42,8.52,-0.52,-1.9
Jarrod Bowen,West Ham,76,8,8.01,7.41,0.59,-0.6
Thierno Barry,Everton,37,8,9.13,7.11,0.89,-2.02
Jaidon Anthony,Burnley,52,8,5.46,5.28,2.72,-0.18
Kiernan Dewsbury-Hall,Everton,37,8,4.28,4.22,3.78,-0.06
Bruno Fernandes,Manchester United,79,8,11.42,10.2,-2.2,-1.22
Phil Foden,Manchester City,54,7,6.68,5.48,1.52,-1.2
Kevin Schade,Brentford,51,7,10.61,8.57,-1.57,-2.04
Cody Gakpo,Liverpool,83,7,8.94,7.83,-0.83,-1.12
Mohamed Salah,Liverpool,63,7,8.55,7.2,-0.2,-1.35
Bukayo Saka,Arsenal,68,7,8.54,6.71,0.29,-1.83
Eberechi Eze,Arsenal,53,7,4.06,4.57,2.43,0.52
Harvey Barnes,Newcastle United,54,7,7.8,6.55,0.45,-1.25
Nick Woltemade,Newcastle United,32,7,7.79,6.4,0.6,-1.39
Dominik Szoboszlai,Liverpool,67,6,4.33,4.83,1.17,0.5
Iliman Ndiaye,Everton,41,6,6.01,5.62,0.38,-0.4
Igor Jesus,Nottingham Forest,66,6,6.96,6.22,-0.22,-0.74
Evanilson,Bournemouth,68,6,11.12,8.37,-2.37,-2.75
Anthony Gordon,Newcastle United,48,6,8.76,7.02,-1.02,-1.73
Emiliano Buendía,Aston Villa,46,6,3.63,4.23,1.77,0.6
Leandro Trossard,Arsenal,51,6,6.66,5.67,0.33,-0.99
Marcus Tavernier,Bournemouth,67,6,8.97,7.3,-1.3,-1.67
Lukas Nmecha,Leeds,28,6,7.4,6.57,-0.57,-0.84
Brian Brobbey,Sunderland,31,6,5.45,4.31,1.69,-1.14
Callum Wilson,West Ham,34,6,6.93,5.81,0.19,-1.13
Rayan,Bournemouth,25,5,2.45,2.53,2.47,0.07
Anton Stach,Leeds,53,5,2.87,3.07,1.93,0.2
Ryan Gravenberch,Liverpool,35,5,1.41,2.22,2.78,0.8
Florian Wirtz,Liverpool,48,5,6.96,5.67,-0.67,-1.29
Martín Zubimendi,Arsenal,27,5,2.94,2.49,2.51,-0.45
Tijjani Reijnders,Manchester City,45,5,4.59,4.32,0.68,-0.27
Antoine Semenyo,Manchester City,31,5,4.13,3.47,1.53,-0.66
Nico O'Reilly,Manchester City,39,5,6.22,4.88,0.12,-1.34
Tomas Soucek,West Ham,22,5,4.91,4.03,0.97,-0.88
Wilson Isidor,Sunderland,40,5,5.17,4.73,0.27,-0.44
Jéremy Doku,Manchester City,35,5,3.73,3.74,1.26,0.01
Crysencio Summerville,West Ham,52,5,5.54,5.0,-0.0,-0.54
William Osula,Newcastle United,20,5,3.93,3.57,1.43,-0.36
Diego Gómez,Brighton,36,5,5.59,4.7,0.3,-0.89
Pedro Neto,Chelsea,44,5,4.99,4.01,0.99,-0.98
Dango Ouattara,Brentford,48,5,7.52,5.7,-0.7,-1.82
Jack Hinshelwood,Brighton,35,4,4.53,4.02,-0.02,-0.51
John McGinn,Aston Villa,26,4,2.89,3.01,0.99,0.12
Mikel Merino,Arsenal,21,4,4.55,3.06,0.94,-1.49
Mikkel Damsgaard,Brentford,29,4,2.93,2.9,1.1,-0.03
Micky van de Ven,Tottenham,15,4,2.42,2.03,1.97,-0.39
Alex Iwobi,Fulham,31,4,1.9,2.34,1.66,0.45
João Palhinha,Tottenham,26,4,2.16,2.57,1.43,0.41
Lucas Paquetá,West Ham,23,4,2.44,2.73,1.27,0.29
Enzo Le Fée,Sunderland,32,4,4.7,4.64,-0.64,-0.06
